,id,name,description
57,ad5685f8-6e05-49b1-a41c-d72786001d72,Piertotum Locomotor,Incantation used to bring to life inanimate objects and artifacts
58,0a267162-0594-4372-a3d5-89382926f495,Protean Charm,Links objects together for better communication
59,8808aa30-39f4-400c-a0e5-1dcbad657931,Protego,"Casts an invisible shield around the caster, protecting against spells and objects (except for The Killing Curse)"
60,56742dd7-3c93-4085-bea3-971e88d81dc2,Reducto,Reduces the target to pieces
61,2f177949-1f80-4663-9840-da8197411f2a,Reducio,Shrinks an enlarged object to its regular size
62,358ecb3c-e684-492c-b706-47cbd1eae02e,Renneverate,Awakens or revives the target
63,1b7a8a4c-8d4f-4001-8155-e68f1198ef72,Reparifors,Heals magical ailments like poisoning or paralysis
64,799f31a3-799e-411f-b67c-a64e48a5f503,Reparo,Fixes broken objects
65,32dbeb89-0978-4037-ab1b-413d62be02c3,Rictusempra,A charm that disarms an opponent by tickling them
66,c9dc8bed-5834-4001-8fa1-852690d027f2,Riddikulus,"Used to defeat a Boggart, the charm allows the scary creature to assume a comedic form, disarming it"
67,14c47e18-cbf3-4aec-afd3-5473d18ee7c0,Scourgify,Cleans objects
68,3617c34c-e650-4e3b-a13a-651d18471225,Sectumsempra,Inflicts severe lacerations and haemorrhaging on the target
69,53747fb8-bdab-466e-90fb-ca75c66f3dd9,Serpensortia,Conjures a live snake
70,43d3d53e-7ab9-4145-bda7-d96be99c5d31,Silencio,Silences the target
71,d5f71164-fa43-4566-b537-8852859bde01,Sonorus,Amplifies the witch or wizard's voice
72,9ec3258c-bc2f-4427-8440-ebea450a44aa,Spongify,Softens the target
73,37110a48-07e3-4fd7-9aae-ac1145161e1e,Stupefy,The Stunning spell freezes objects and renders living targets unconscious
74,daeb6f2a-5aff-43e1-964a-a06da7f66a3c,Tarantallegra,"Aimed at the legs, causes uncontrollable dancing movement"
75,4eaa6532-3ef2-428d-922f-101aee3d66ed,Unbreakable Vow,A magically binding contract that results in the death of whoever breaks it
76,e23728b2-f6fd-4c70-a1d2-ce602940d873,Wingardium Leviosa,"Causes an object to levitate; but remember what Hermione said: ""It's Wing-gar-dium Levi-o-sa, make the 'gar' nice and long.'"""
